Territori,Tipus de territori,Temps,Activitats immobiliàries,Ensenyament,Equipaments culturals i recreatius,Finances i assegurances,"Manteniment, neteja i producció",Reparacions (Electrodomèstics i automòbils),"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",Sanitat i assistència
Sant Andreu,Districte,31 Des. 2016,24,77,23,48,12,44,233,72
Sant Andreu,Districte,31 Des. 2019,31,93,21,37,23,44,243,86
Sant Andreu,Districte,31 Des. 2022,27,91,20,33,20,43,232,92
Sant Andreu,Districte,31 Des. 2024,31,89,21,29,25,40,228,104
la Sagrera,Barri,31 Des. 2014,8,40,7,24,9,18,105,29
la Sagrera,Barri,31 Des. 2016,5,35,13,18,1,23,100,18
la Sagrera,Barri,31 Des. 2019,10,35,17,15,3,19,108,22
la Sagrera,Barri,31 Des. 2022,10,39,15,14,2,17,106,26
la Sagrera,Barri,31 Des. 2024,11,43,14,11,2,16,100,28
el Congrés i els Indians,Barri,31 Des. 2014,3,31,3,8,10,24,77,12
el Congrés i els Indians,Barri,31 Des. 2016,10,29,8,10,7,25,75,16
el Congrés i els Indians,Barri,31 Des. 2019,14,30,5,9,7,23,85,22
el Congrés i els Indians,Barri,31 Des. 2022,14,29,5,7,2,24,83,21
el Congrés i els Indians,Barri,31 Des. 2024,13,31,5,8,5,23,82,24
Navas,Barri,31 Des. 2014,5,10,1,7,13,23,79,10
Navas,Barri,31 Des. 2016,8,10,4,10,4,20,86,10
Navas,Barri,31 Des. 2019,12,14,4,6,5,28,96,15
Navas,Barri,31 Des. 2022,11,16,4,7,4,28,92,16
Navas,Barri,31 Des. 2024,12,17,4,6,5,29,95,17
el Camp de l'Arpa del Clot,Barri,31 Des. 2014,16,40,-,35,27,49,194,23
el Camp de l'Arpa del Clot,Barri,31 Des. 2016,16,30,16,31,20,43,187,33
el Camp de l'Arpa del Clot,Barri,31 Des. 2019,22,37,13,23,19,41,204,42
el Camp de l'Arpa del Clot,Barri,31 Des. 2022,20,34,13,16,11,41,190,44
el Camp de l'Arpa del Clot,Barri,31 Des. 2024,23,38,14,12,7,45,198,55
el Clot,Barri,31 Des. 2014,8,28,-,24,11,15,132,9
el Clot,Barri,31 Des. 2016,9,29,10,20,11,15,130,10
el Clot,Barri,31 Des. 2019,16,37,10,14,11,19,135,14
el Clot,Barri,31 Des. 2022,15,37,12,12,11,19,138,18
el Clot,Barri,31 Des. 2024,11,33,12,11,11,16,134,21
el Parc i la Llacuna del Poblenou,Barri,31 Des. 2014,1,21,3,10,13,52,136,5
el Parc i la Llacuna del Poblenou,Barri,31 Des. 2016,5,21,23,11,5,29,151,6
el Parc i la Llacuna del Poblenou,Barri,31 Des. 2019,4,26,10,7,4,29,169,8
el Parc i la Llacuna del Poblenou,Barri,31 Des. 2022,4,27,8,7,4,23,172,11
el Parc i la Llacuna del Poblenou,Barri,31 Des. 2024,8,26,7,7,5,19,185,11
la Vila Olímpica del Poblenou,Barri,31 Des. 2014,5,19,3,12,5,4,51,5
la Vila Olímpica del Poblenou,Barri,31 Des. 2016,7,19,17,14,2,5,119,12
la Vila Olímpica del Poblenou,Barri,31 Des. 2019,10,26,4,11,1,7,111,9
la Vila Olímpica del Poblenou,Barri,31 Des. 2022,8,27,4,5,2,5,92,15
la Vila Olímpica del Poblenou,Barri,31 Des. 2024,5,26,4,5,2,4,79,17
el Poblenou,Barri,31 Des. 2014,15,46,4,41,17,42,273,24
el Poblenou,Barri,31 Des. 2016,23,47,16,33,9,35,264,37
el Poblenou,Barri,31 Des. 2019,24,66,29,26,13,32,301,50
